Instance name,CNF-to-DRAT time (ms),DRAT size (bytes),DRAT-to-LRAT time (ms),DRAT-to-LRAT peak memory usage (kb),LRAT-from-DRAT size (bytes),LRAT-from-DRAT verification time (ms),CNF-to-FRAT time (ms),FRAT size (bytes),FRAT-to-LRAT time (ms),FRAT-to-LRAT peak memory usage (kb),Temporary file size (bytes),LRAT-from-FRAT size (bytes),LRAT-from-FRAT verification time (ms)
size_4_4_4_i4473_r8,234100,175767911,323680,720828,542739191,16110,276419,488681050,38530,38884,246052738,510377800,15811
size_4_4_4_i4828_r8,365420,224977007,646900,1004572,867749038,27050,316006,632882110,55590,40468,376046930,785855888,23870
slp-synthesis-aes-bottom13-sc2011,34840,53723299,17410,160732,71302414,2030,37196,117354372,6970,28260,46867228,103676927,3033
smtlib-qfbv-aigs-countbits128-tseitin-sc2011,1082590,3261911080,1508140,3854756,2397188908,63740,1376986,7671045965,413310,281304,1448973113,2905660681,76046
smulo032-sc2012,183160,160016164,189560,589060,477788483,14520,165283,482448122,32080,45900,184629700,401926655,12051
snw_13_8_pre-sc2016,1829280,357345085,2296180,1249840,874501459,27870,1983444,870563408,129350,180388,398312116,823628556,25949
snw_16_8_nopre-sc2016,3318810,307248330,2896680,1201420,620803921,21090,3643516,753448566,116350,780372,274130974,584026987,20176
snw_16_8_pre-sc2016,3165530,283710907,2379530,1083380,536712429,17660,3465472,675806523,100780,633632,239483349,511513651,17259
sokoban-p16.sas.ex.15-sc2016,1625840,8777860187,2082130,11371892,6203295852,193800,1540432,12914670304,2326170,1637144,2621387560,5399937677,164658
squ_any_s09x07_c27_abio_UNS-sc2017,1111640,370644633,1600120,1631572,1127234778,35350,1287532,1047390662,113180,61396,505308965,1090063799,35060
sv-comp19_prop-reachsafety.newton_2_2_true-unreach-call_true-termination.i-witness,290560,305606199,33430,432560,96632382,2810,697785,3329154835,97180,216396,39643651,78990428,2553
sv-comp19_prop-reachsafety.newton_2_3_true-unreach-call_true-termination.i-witness,299590,540634559,54460,602948,77646250,2380,456012,2478359255,208980,193036,864741176,1789254031,45955
sv-comp19_prop-reachsafety.newton_2_4_true-unreach-call_true-termination.i-witness,625710,429387123,46830,550360,101235442,3050,402303,1750333836,75370,180272,127886421,259558171,7397
sv-comp19_prop-reachsafety.sine_8_true-unreach-call_true-termination.i-witness,173640,42746056,3220,123008,5904107,240,46810,366288551,3140,37728,2950754,6009114,248
sv-comp19_prop-reachsafety.square_5_true-unreach-call_true-termination.i-witness,137110,66899626,136950,1587860,2425281073,63490,287233,2821017166,311610,49432,2500237512,5387563072,145410
uniqinv47prop-sc2018,6361410,3860170590,2838750,6057448,1837240145,54260,7811396,20311166275,463030,216852,1294474792,2647722796,78971
